iter	RMSE
0	660.6217093
1	641.6454593
2	623.284381
3	605.3872826
4	588.1654917
5	571.35323
6	554.9696801
7	539.2043877
8	523.6976441
9	508.9393402
10	494.3437439
11	480.6813715
12	467.1208649
13	454.0139051
14	441.4304347
15	429.3254721
16	417.120523
17	405.266738
18	393.9130151
19	383.0227565
20	372.2855082
21	361.8200099
22	352.0855251
23	342.2887002
24	333.096529
25	324.2747975
26	315.3697745
27	307.0008002
28	298.5709907
29	290.5067716
30	282.7917446
31	275.2272436
32	267.89728
33	260.870295
34	253.9305317
35	247.39161
36	240.990449
37	234.9056765
38	229.1286685
39	223.292419
40	217.5653762
41	212.2170288
42	206.9009256
43	201.9070532
44	197.1443907
45	192.4652966
46	187.8092924
47	183.4750375
48	179.2396315
49	175.1810079
50	171.1659794
51	167.342431
52	163.6859592
53	160.0837163
54	156.6108207
55	153.2252344
56	149.9955402
57	146.9557412
58	143.932145
59	141.117123
60	138.406736
61	135.6879533
62	133.1238645
63	130.738248
64	128.3510255
65	126.0690964
66	123.9381969
67	121.7476012
68	119.7009217
69	117.6994123
70	115.8427548
71	114.0193802
72	112.3638983
73	110.6941922
74	109.0498989
75	107.4960445
76	105.9923127
77	104.5673475
78	103.2134484
79	101.9905026
80	100.6891175
81	99.56971617
82	98.48249
83	97.50081843
84	96.41840567
85	95.50653901
86	94.55069856
87	93.62106719
88	92.76976054
89	91.97501991
90	91.21044265
91	90.53678037
92	89.8192566
93	89.10617535
94	88.40623292
95	87.86110762
96	87.32784616
97	86.77998965
98	86.15779303
99	85.60599244
100	85.08476732
101	84.62342225
102	84.18160064
103	83.73485176
104	83.38172831
105	83.00476127
106	82.63512837
107	82.26686337
108	81.97395203
109	81.66722666
110	81.34935862
111	81.00777953
112	80.71623496
113	80.4203214
114	80.17452354
115	79.89537897
116	79.6349671
117	79.39557548
118	79.22859069
119	78.94992402
120	78.73772194
121	78.52389055
122	78.28447935
123	78.1677487
124	77.94480174
125	77.80540186
126	77.59958177
127	77.40484056
128	77.20761347
129	77.0558588
130	76.94646959
131	76.79838254
132	76.62830078
133	76.49698366
134	76.41056636
135	76.33853953
136	76.22852821
137	76.09563992
138	76.00040556
139	75.9418312
140	75.80103806
141	75.70830142
142	75.57934105
143	75.46394736
144	75.38619809
145	75.34345976
146	75.25940269
147	75.19120543
148	75.08983019
149	75.01043481
150	74.94351318
151	74.84008873
152	74.76524073
153	74.67891083
154	74.63596792
155	74.55705641
156	74.4842442
157	74.45813915
158	74.38941447
159	74.34267731
160	74.29379352
161	74.26272176
162	74.19517541
163	74.13089409
164	74.09255821
165	74.04866644
166	73.97087897
167	73.91954763
168	73.87638771
169	73.82626477
170	73.75292784
171	73.70840815
172	73.6458612
173	73.60306274
174	73.57098093
175	73.52274202
176	73.4909917
177	73.45026686
178	73.40538209
179	73.36781137
180	73.32817304
181	73.29446993
182	73.26662948
183	73.22054976
184	73.17760396
185	73.1358711
186	73.09567995
187	73.05408366
188	73.01902647
189	72.98007388
190	72.93898359
191	72.89353021
192	72.86424512
193	72.81394017
194	72.7966889
195	72.77285441
196	72.74802985
197	72.7124979
198	72.67009442
199	72.63552455
200	72.61850157
201	72.59759958
202	72.56437605
203	72.55195225
204	72.5432597
205	72.51734677
206	72.48953228
207	72.47072796
208	72.44654362
209	72.43343723
210	72.40857283
211	72.3882417
212	72.36794885
213	72.34962798
214	72.33568908
215	72.32875112
216	72.31369447
217	72.28224015
218	72.2515721
219	72.21715828
220	72.19707762
221	72.18437465
