iter	RMSE
222	72.16478529
223	72.15848615
224	72.12701718
225	72.10948109
226	72.08906906
227	72.05635084
228	72.04139552
229	72.01317083
230	71.99021043
231	71.96792229
232	71.9468166
233	71.92729014
234	71.90915664
235	71.900959
236	71.88977408
237	71.86802347
238	71.84613803
239	71.83301389
240	71.82018071
241	71.79785895
242	71.77772321
243	71.77015704
244	71.75832907
245	71.74255663
246	71.72960019
247	71.71581654
248	71.70298393
249	71.69553736
250	71.67774704
251	71.66470141
252	71.641079
253	71.63042155
254	71.6200475
255	71.61678083
256	71.59904597
257	71.5856108
258	71.58137883
259	71.57110577
260	71.55760438
261	71.54566061
262	71.53839701
263	71.52592775
264	71.51164488
265	71.50306292
266	71.49405822
267	71.4817438
268	71.47594337
269	71.45801071
270	71.44640057
271	71.42576398
272	71.42051078
273	71.41166708
274	71.39640428
275	71.3827187
276	71.37058146
277	71.36249307
278	71.34617102
279	71.33463286
280	71.32887799
281	71.31777631
282	71.31164855
283	71.29728239
284	71.28912918
285	71.27796355
286	71.26815336
287	71.2591496
288	71.24388837
289	71.23569496
290	71.22561533
291	71.21258096
292	71.20673455
293	71.19519087
294	71.18789725
295	71.17795744
296	71.16862672
297	71.16199677
298	71.15366708
299	71.14337927
300	71.13381825
301	71.12955287
302	71.11961136
303	71.10837168
304	71.09735303
305	71.09223285
306	71.08703156
307	71.07946707
308	71.07218434
309	71.0637405
310	71.06036127
311	71.04895744
312	71.04201221
313	71.03389941
314	71.02629847
315	71.01989885
316	71.01358044
317	71.00471355
318	70.99778774
319	70.99111419
320	70.98186873
321	70.97670953
322	70.97115443
323	70.96299
324	70.95428074
325	70.94691127
326	70.93930377
327	70.93321741
328	70.92522195
329	70.91854174
330	70.90803374
331	70.901354
332	70.89648276
333	70.8915849
334	70.88537971
335	70.87788357
336	70.86682937
337	70.86141996
338	70.85380346
339	70.84603733
340	70.84290475
341	70.83363666
342	70.82446482
343	70.81151505
344	70.80694353
345	70.800241
346	70.79436721
347	70.78624857
348	70.77835489
349	70.77294571
350	70.76631706
351	70.75705423
352	70.75379625
353	70.74734523
354	70.74358896
355	70.73552126
356	70.72938692
357	70.72317923
358	70.71930787
359	70.71040921
360	70.70672128
361	70.70009933
362	70.69365139
363	70.68859243
364	70.67954894
365	70.67314127
366	70.66721257
367	70.66183501
368	70.65546773
369	70.65004562
370	70.64464396
371	70.63743243
372	70.63074207
373	70.62518422
374	70.6186205
375	70.61182547
376	70.60482342
377	70.59855944
378	70.59251298
379	70.58629691
380	70.58048675
381	70.57573295
382	70.5706066
383	70.56453563
384	70.55776595
385	70.55333233
386	70.54823923
387	70.54060854
388	70.53568721
389	70.53109059
390	70.52718276
391	70.52238387
392	70.51786419
393	70.51375969
394	70.50950217
395	70.50596082
396	70.50173498
397	70.49677886
398	70.49276507
399	70.48752461
400	70.48259268
401	70.47873817
402	70.47421052
403	70.46898947
404	70.46492312
405	70.46191468
406	70.45853593
407	70.45509481
408	70.45032719
409	70.44719662
410	70.44389794
411	70.43921858
412	70.43570461
413	70.43266799
414	70.42947005
415	70.42645876
416	70.42205198
417	70.41874411
418	70.41459443
419	70.41175858
420	70.40851167
421	70.4057727
422	70.40280667
423	70.400279
424	70.39789838
425	70.39565628
426	70.39286024
427	70.39036017
428	70.38824806
429	70.38568705
430	70.38329384
431	70.3806407
432	70.37794462
433	70.37557818
434	70.37043401
435	70.36803962
436	70.36317208
437	70.36080262
438	70.35885344
439	70.35665222
440	70.35375796
441	70.3502374
442	70.34798234
443	70.34565588
444	70.34240181
445	70.34032055
446	70.33877311
447	70.33670992
448	70.33071769
449	70.32903764
450	70.32707763
451	70.32401394
452	70.3219093
453	70.3205504
454	70.31563936
455	70.31395848
456	70.31107512
457	70.30697551
458	70.3051502
459	70.30337148
460	70.29798536
461	70.29410385
462	70.29215701
463	70.28707495
464	70.28558267
465	70.28388244
466	70.28227249
467	70.28039134
468	70.27898048
469	70.27684319
470	70.27514394
471	70.27381553
472	70.27209629
473	70.27037029
474	70.26676487
475	70.26452159
476	70.26299888
477	70.26151793
478	70.25987453
479	70.25927411
480	70.25787894
481	70.25643763
482	70.25311034
483	70.25191427
484	70.24759653
485	70.24604736
486	70.24125497
487	70.23810384
488	70.23672916
489	70.23560269
490	70.23261759
491	70.23132313
492	70.22973726
493	70.225862
494	70.22462043
495	70.22357651
496	70.22237241
497	70.22100728
498	70.21973781
499	70.219184
